Day,target,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2019-08-31,1.0,15.362692826868942,14.038488045130217,-276.2888366996849,-95.16496810219155,-46.08096346878512,-96.31437362111939,-133.70610939838141,-102.78322467263159,-740.15625,-507.3857420000004,-1723.3603509999994,31.314452017742735,36.5840146520105,43.54194269004403,49.725039611951466
2019-09-01,1.0,25.726725298687125,16.924621907135506,-275.89495667258416,-75.81687046007264,23.26512586456222,-57.36966648915246,-111.99620902951752,-88.1877507281903,-427.52929699999913,-373.08496099999866,-1765.6083989999988,41.40142273314631,40.28162050909281,44.79088983813486,50.14500176304442
2019-09-02,1.0,51.9609251290461,31.016781084867365,-225.47325317930154,-20.316133573432012,166.66666666666669,53.75882851677129,-7.16724863318003,-30.674363835035205,592.3378900000007,-61.20410199999969,-1035.855469,68.30820088854878,54.04979138497343,50.1465392455555,52.035857608648264
2019-09-03,1.0,75.16479519082954,50.95081520618756,-161.32031360844485,35.06944479793975,121.27395962430853,126.08536861738045,106.2343289434124,20.303931024423314,1113.339844,463.57910099999935,-272.29003900000134,75.04209049899498,58.988409892560114,52.42450481778611,52.89286289061982
2019-09-04,0.0,90.87343759856383,72.66638597281313,-111.53676051323419,67.88239831452034,84.26333485705072,109.34330355035966,108.90707977901407,24.047393493946352,996.3193359999987,455.97558599999866,542.7890619999998,73.00711077239782,58.25828194984022,52.161865301052366,52.7918507810867
2019-09-05,0.0,87.2901559544194,84.44279624793757,-72.77395357524074,85.31616420201104,55.03491336544196,93.88315365240042,92.5514635830201,18.78902126598638,944.8691400000007,204.7128900000007,263.98730500000056,71.42672205827778,57.73995447279171,51.98337380933389,52.7247846691368
2019-09-06,0.0,74.59393755072854,84.2525103679039,-59.3026869363548,79.02994467271759,18.097050226029353,72.4416561910092,72.26266670111328,10.540025999934434,595.3320309999999,167.80273400000078,-21.03613299999961,54.22792954578644,51.74434785491291,49.88264801578609,51.93566650786321
2019-09-07,1.0,58.178766550250856,73.3542866851329,-34.99365774706894,82.67117908960276,-117.65621812370942,54.90239286283273,58.50153908242728,5.385334939173446,170.49414099999922,762.8320309999999,285.5107420000004,62.54500285396091,55.5296314548261,51.40392708574234,52.47118155326853
2019-09-08,0.0,38.32069619175443,57.03113343091124,-21.610298174298805,76.84363092989831,-68.14975381150511,46.37811047483124,56.86047930029451,7.111672036406243,-182.26367199999913,931.076172000001,95.46582000000126,56.58861781330516,53.37382510937705,50.655736226962425,52.196180035651885
2019-09-09,0.0,28.95613539028101,41.818532710762064,-19.358401162307928,63.27642235351135,-166.66666666666669,2.5925733922080325,24.159203636068472,-14.929855984317248,-259.51855499999874,736.8007809999999,-581.0791019999997,48.50929814604522,50.33594710067367,49.595273693396244,51.80853066197025
2019-09-10,0.0,20.212972776095175,29.163268119376834,-34.84349335904153,38.2330641254222,-120.74679310291525,-55.91788559501762,-0.7199278283590134,-31.88043754877115,-459.5576170000004,485.3115230000003,-647.2568359999987,35.46858566040763,44.533773499083665,47.4466361750555,51.012097739879735
2019-09-11,1.0,22.736893428880677,23.968667198418917,-41.60111395352942,25.180354824747454,-95.53004926420924,-110.85995274377727,-12.121598070850304,-39.06098416398078,-174.93066400000134,420.4013669999986,40.32226499999888,41.107130021622,46.48654269498175,48.119052123615305,51.23006535248289
2019-09-12,1.0,37.609672023367516,26.85317940944775,-27.93389026028126,31.07806281439649,22.190353814970617,-44.125759719005266,35.00658160887708,-15.283795871385589,-107.12792999999874,63.366211000000476,279.07128900000134,58.103393471775554,53.27536550166327,50.58484028843691,52.03885460301005
2019-09-13,0.0,60.94923605688013,40.43193383637607,-20.862722474856128,30.519384479857294,71.25987355136292,-23.62519841240405,41.088558024262674,-13.058475073483587,-80.72949200000039,-262.9931639999995,-47.417969000000085,53.94051129267725,51.71584568678904,50.05049272882049,51.85114185901324
